Info 0    [01:11:21.045] Starting TS Server
Info 1    [01:11:21.045] Version: 4.8.3
Info 2    [01:11:21.045] Arguments: /usr/local/bin/node /home/ehijoe/emacs/distributions/webdev/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --useInferredProjectPerProjectRoot --cancellationPipeName /tmp/991971400ac3ae79b1d2031beec46b1e/tscancellation* --logFile /home/ehijoe/Documents/ALX/alx-higher_level_programming/0x14-javascript-web_scraping/.log/tsserver.log --logVerbosity info --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [01:11:21.045] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [01:11:21.045] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [01:11:21.073] Format host information updated
Info 6    [01:11:21.134] Search path: /home/ehijoe/Documents/ALX/alx-higher_level_programming/0x14-javascript-web_scraping
Info 7    [01:11:21.136] For info: /home/ehijoe/Documents/ALX/alx-higher_level_programming/0x14-javascript-web_scraping/3-starwars_title.js :: No config files found.
Info 8    [01:11:21.144] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [01:11:26.992] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 5847.291091002524ms
Info 10   [01:11:26.993] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [01:11:26.993] 	Files (103)

Info 12   [01:11:26.993] -----------------------------------------------
Info 13   [01:11:27.359] Format host information updated
Info 14   [01:11:27.520] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [01:11:27.584] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 63.48741099983454ms
Info 16   [01:11:27.584] Different program with same set of files
Info 17   [01:11:27.657] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [01:11:27.681] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 23.340291000902653ms
Info 19   [01:11:27.681] Different program with same set of files
Info 20   [01:11:29.942] Before ensureProjectForOpenFiles:
Info 21   [01:11:29.942] After ensureProjectForOpenFiles:
Info 22   [01:11:29.943] got projects updated in background, updating diagnostics for /home/ehijoe/Documents/ALX/alx-higher_level_programming/0x14-javascript-web_scraping/3-starwars_title.js
Info 23   [01:11:32.858] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [01:11:32.879] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 20.741634994745255ms
Info 25   [01:11:32.879] Different program with same set of files
Info 26   [01:11:33.394] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [01:11:33.428] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 33.577067002654076ms
Info 28   [01:11:33.428] Different program with same set of files
Info 29   [01:11:33.672] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
