Info 0    [20:01:20.924] Starting TS Server
Info 1    [20:01:20.963] Version: 4.8.3
Info 2    [20:01:20.963] Arguments: /usr/local/bin/node /home/ehijoe/emacs/distributions/webdev/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --useInferredProjectPerProjectRoot --cancellationPipeName /tmp/33d4b55972264d22d8771f503fc123c7/tscancellation* --logFile /home/ehijoe/Documents/ALX/alx-higher_level_programming/0x15-javascript-web_jquery/.log/tsserver.log --logVerbosity info --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [20:01:20.963] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [20:01:20.963] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [20:01:21.007] Format host information updated
Info 6    [20:01:21.213] Search path: /home/ehijoe/Documents/ALX/alx-higher_level_programming/0x15-javascript-web_jquery
Info 7    [20:01:21.215] For info: /home/ehijoe/Documents/ALX/alx-higher_level_programming/0x15-javascript-web_jquery/0-script.js :: No config files found.
Info 8    [20:01:21.227] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [20:01:23.648] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 2419.425145998597ms
Info 10   [20:01:23.648] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [20:01:23.648] 	Files (19)

Info 12   [20:01:23.648] -----------------------------------------------
Info 13   [20:17:26.921] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [20:17:26.940] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 18.56428800150752ms
Info 15   [20:17:26.940] Different program with same set of files
Info 16   [20:17:26.941] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [20:17:26.958] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 16.563634999096394ms
Info 18   [20:17:26.958] Different program with same set of files
Info 19   [20:17:27.481] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [20:17:27.495] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 13.690336998552084ms
Info 21   [20:17:27.495] Different program with same set of files
Info 22   [20:17:28.056] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
